graph_id,n,h,beta,step,log_Z_running
n16_graph0,16,0.0,5.0,623,131.090355
n16_graph0,16,0.0,5.0,766,131.090355
n16_graph0,16,0.0,5.0,943,131.090355
n16_graph0,16,0.0,5.0,1161,131.090355
n16_graph0,16,0.0,5.0,1428,131.090355
n16_graph0,16,0.0,5.0,1758,131.090355
n16_graph0,16,0.0,5.0,2163,131.090355
n16_graph0,16,0.0,5.0,2662,131.090355
n16_graph0,16,0.0,5.0,3276,130.553360
n16_graph0,16,0.0,5.0,4032,130.591846
n16_graph0,16,0.0,5.0,4961,130.595589
n16_graph0,16,0.0,5.0,6106,130.594547
n16_graph0,16,0.0,5.0,7514,130.591600
n16_graph0,16,0.0,5.0,9247,130.589394
n16_graph0,16,0.0,5.0,11380,130.591024
n16_graph0,16,0.0,5.0,14005,130.589789
n16_graph0,16,0.0,5.0,17235,130.056410
n16_graph0,16,0.0,5.0,21211,130.059714
n16_graph0,16,0.0,5.0,26103,130.058834
n16_graph0,16,0.0,5.0,32124,129.515380
n16_graph0,16,0.0,5.0,39534,129.516806
n16_graph0,16,0.0,5.0,48653,128.942075
n16_graph0,16,0.0,5.0,59875,128.358316
n16_graph0,16,0.0,5.0,73685,127.759179
n16_graph0,16,0.0,5.0,90681,127.127663
n16_graph0,16,0.0,5.0,111597,125.800732
n16_graph0,16,0.0,5.0,137338,124.356891
n16_graph0,16,0.0,5.0,169016,122.787581
n16_graph0,16,0.0,5.0,208000,120.846583
n16_graph0,16,0.1,0.1,1,13.491155
n16_graph0,16,0.1,0.1,2,13.491155
n16_graph0,16,0.1,0.1,3,13.491155
n16_graph0,16,0.1,0.1,4,13.491155
n16_graph0,16,0.1,0.1,5,13.491155
n16_graph0,16,0.1,0.1,6,13.491155
