graph_id,n,h,beta,step_n_mult,samples_per_segment,n_segments,burnin,total_steps,log_Z,runtime_s
n16_graph0,16,0.1,5.0,4,3000,35,3000,210000,127.980993,0.2078
n16_graph0,16,0.1,5.0,4,10000,35,3000,455000,127.980273,0.5509
n16_graph0,16,0.1,5.0,20,100,173,3000,536300,128.059797,0.5318
n16_graph0,16,0.1,5.0,20,300,173,3000,570900,128.052801,0.5656
n16_graph0,16,0.1,5.0,20,1000,173,3000,692000,127.991493,0.7002
n16_graph0,16,0.1,5.0,20,3000,173,3000,1038000,128.026992,1.1081
n16_graph0,16,0.1,5.0,20,10000,173,3000,2249000,128.007672,2.3101
n16_graph0,16,0.2,0.1,1,100,16,3000,49600,10.916821,0.0377
n16_graph0,16,0.2,0.1,1,300,16,3000,52800,11.413481,0.0431
n16_graph0,16,0.2,0.1,1,1000,16,3000,64000,11.133622,0.0553
n16_graph0,16,0.2,0.1,1,3000,16,3000,96000,11.255480,0.0878
n16_graph0,16,0.2,0.1,1,10000,16,3000,208000,11.262754,0.2156
n16_graph0,16,0.2,0.1,4,100,63,3000,195300,11.133026,0.1568
n16_graph0,16,0.2,0.1,4,300,63,3000,207900,11.019492,0.1694
n16_graph0,16,0.2,0.1,4,1000,63,3000,252000,11.147981,0.2100
n16_graph0,16,0.2,0.1,4,3000,63,3000,378000,11.191225,0.3576
n16_graph0,16,0.2,0.1,4,10000,63,3000,819000,11.275803,0.8453
n16_graph0,16,0.2,0.1,20,100,314,3000,973400,11.340435,0.8615
n16_graph0,16,0.2,0.1,20,300,314,3000,1036200,11.250693,0.9067
n16_graph0,16,0.2,0.1,20,1000,314,3000,1256000,11.335757,1.1768
n16_graph0,16,0.2,0.1,20,3000,314,3000,1884000,11.254562,1.7808
n16_graph0,16,0.2,0.1,20,10000,314,3000,4082000,11.208618,4.1663
n16_graph0,16,0.2,0.2,1,100,16,3000,49600,9.942748,0.0399
n16_graph0,16,0.2,0.2,1,300,16,3000,52800,12.220608,0.0528
n16_graph0,16,0.2,0.2,1,1000,16,3000,64000,11.285865,0.0629
n16_graph0,16,0.2,0.2,1,3000,16,3000,96000,11.627769,0.1022
n16_graph0,16,0.2,0.2,1,10000,16,3000,208000,11.608352,0.2205
n16_graph0,16,0.2,0.2,4,100,62,3000,192200,11.970605,0.1674
n16_graph0,16,0.2,0.2,4,300,62,3000,204600,11.646290,0.1870
n16_graph0,16,0.2,0.2,4,1000,62,3000,248000,11.598600,0.2451
n16_graph0,16,0.2,0.2,4,3000,62,3000,372000,11.413311,0.3794
n16_graph0,16,0.2,0.2,4,10000,62,3000,806000,11.543640,0.7955
n16_graph0,16,0.2,0.2,20,100,308,3000,954800,11.542601,0.8116
n16_graph0,16,0.2,0.2,20,300,308,3000,1016400,11.565174,0.8711
n16_graph0,16,0.2,0.2,20,1000,308,3000,1232000,11.544618,1.2082
n16_graph0,16,0.2,0.2,20,3000,308,3000,1848000,11.613325,1.8511
n16_graph0,16,0.2,0.2,20,10000,308,3000,4004000,11.568824,4.0158
n16_graph0,16,0.2,0.3,1,100,16,3000,49600,12.057784,0.0422
n16_graph0,16,0.2,0.3,1,300,16,3000,52800,12.029936,0.0471
n16_graph0,16,0.2,0.3,1,1000,16,3000,64000,12.736624,0.0579
n16_graph0,16,0.2,0.3,1,3000,16,3000,96000,12.190351,0.0838
n16_graph0,16,0.2,0.3,1,10000,16,3000,208000,12.248055,0.1972
n16_graph0,16,0.2,0.3,4,100,61,3000,189100,12.143542,0.1647
n16_graph0,16,0.2,0.3,4,300,61,3000,201300,11.755211,0.1724
n16_graph0,16,0.2,0.3,4,1000,61,3000,244000,12.227794,0.2107
n16_graph0,16,0.2,0.3,4,3000,61,3000,366000,12.464569,0.3669
n16_graph0,16,0.2,0.3,4,10000,61,3000,793000,12.274373,0.7765
n16_graph0,16,0.2,0.3,20,100,301,3000,933100,12.063707,0.7984
n16_graph0,16,0.2,0.3,20,300,301,3000,993300,12.187166,0.8970
